id                         row_id    birds
57   BLKFR-10-CPL_20190611_093000_290   greyel
58   BLKFR-10-CPL_20190611_093000_295   grhowl
59   BLKFR-10-CPL_20190611_093000_300   grhowl
60   BLKFR-10-CPL_20190611_093000_305   grhowl
61   BLKFR-10-CPL_20190611_093000_310   bkpwar
62   BLKFR-10-CPL_20190611_093000_315   grhowl
63   BLKFR-10-CPL_20190611_093000_320   gockin
64   BLKFR-10-CPL_20190611_093000_325   bkpwar
65   BLKFR-10-CPL_20190611_093000_330   grhowl
66   BLKFR-10-CPL_20190611_093000_335   grhowl
67   BLKFR-10-CPL_20190611_093000_340   grhowl
68   BLKFR-10-CPL_20190611_093000_345   grhowl
69   BLKFR-10-CPL_20190611_093000_350   bkpwar
70   BLKFR-10-CPL_20190611_093000_355   grhowl
71   BLKFR-10-CPL_20190611_093000_360   grhowl
72   BLKFR-10-CPL_20190611_093000_365   grhowl
73   BLKFR-10-CPL_20190611_093000_370   grhowl
74   BLKFR-10-CPL_20190611_093000_375   grhowl
75   BLKFR-10-CPL_20190611_093000_380   greyel
76   BLKFR-10-CPL_20190611_093000_385   grhowl
77   BLKFR-10-CPL_20190611_093000_390   grhowl
78   BLKFR-10-CPL_20190611_093000_395   greyel
79   BLKFR-10-CPL_20190611_093000_400   grhowl
80   BLKFR-10-CPL_20190611_093000_405   grhowl
81   BLKFR-10-CPL_20190611_093000_410   grhowl
82   BLKFR-10-CPL_20190611_093000_415   perfal
83   BLKFR-10-CPL_20190611_093000_420   greyel
84   BLKFR-10-CPL_20190611_093000_425   bkpwar
85   BLKFR-10-CPL_20190611_093000_430   perfal
86   BLKFR-10-CPL_20190611_093000_435   grhowl
87   BLKFR-10-CPL_20190611_093000_440   greyel
88   BLKFR-10-CPL_20190611_093000_445   perfal
89   BLKFR-10-CPL_20190611_093000_450   perfal
90   BLKFR-10-CPL_20190611_093000_455   grhowl
91   BLKFR-10-CPL_20190611_093000_460   yerwar
92   BLKFR-10-CPL_20190611_093000_465   yerwar
93     ORANGE-7-CAP_20190606_093000_5  cowscj1
94    ORANGE-7-CAP_20190606_093000_10  cowscj1
95    ORANGE-7-CAP_20190606_093000_15   bewwre
96    ORANGE-7-CAP_20190606_093000_20   stejay
97    ORANGE-7-CAP_20190606_093000_25   bewwre
98    ORANGE-7-CAP_20190606_093000_30   bewwre
99    ORANGE-7-CAP_20190606_093000_35   amecro
100   ORANGE-7-CAP_20190606_093000_40   bewwre
101   ORANGE-7-CAP_20190606_093000_45   bewwre
102   ORANGE-7-CAP_20190606_093000_50   norpin
103   ORANGE-7-CAP_20190606_093000_55   bewwre
104   ORANGE-7-CAP_20190606_093000_60   mouchi
105   ORANGE-7-CAP_20190606_093000_65   amewoo
106   ORANGE-7-CAP_20190606_093000_70   amewoo
107   ORANGE-7-CAP_20190606_093000_75   bewwre
108   ORANGE-7-CAP_20190606_093000_80   buggna
109   ORANGE-7-CAP_20190606_093000_85   amewoo
110   ORANGE-7-CAP_20190606_093000_90   yebfly
111   ORANGE-7-CAP_20190606_093000_95   brncre
112  ORANGE-7-CAP_20190606_093000_100   bewwre
113  ORANGE-7-CAP_20190606_093000_105   buggna
114  ORANGE-7-CAP_20190606_093000_110   bewwre
115  ORANGE-7-CAP_20190606_093000_115   brncre
116  ORANGE-7-CAP_20190606_093000_120   bewwre
117  ORANGE-7-CAP_20190606_093000_125   bewwre
118  ORANGE-7-CAP_20190606_093000_130   brdowl
119  ORANGE-7-CAP_20190606_093000_135   woothr
120  ORANGE-7-CAP_20190606_093000_140   bewwre
121  ORANGE-7-CAP_20190606_093000_145   buggna
122  ORANGE-7-CAP_20190606_093000_150   bewwre
123  ORANGE-7-CAP_20190606_093000_155   bkcchi
124  ORANGE-7-CAP_20190606_093000_160   bewwre
125  ORANGE-7-CAP_20190606_093000_165   btbwar
126  ORANGE-7-CAP_20190606_093000_170   bewwre
127  ORANGE-7-CAP_20190606_093000_175   bkcchi
128  ORANGE-7-CAP_20190606_093000_180   mouchi
129  ORANGE-7-CAP_20190606_093000_185   brdowl
130  ORANGE-7-CAP_20190606_093000_190   buggna
131  ORANGE-7-CAP_20190606_093000_195   woothr
132  ORANGE-7-CAP_20190606_093000_200   leafly
133  ORANGE-7-CAP_20190606_093000_205   bewwre
134  ORANGE-7-CAP_20190606_093000_210   btbwar
135  ORANGE-7-CAP_20190606_093000_215   bewwre
136  ORANGE-7-CAP_20190606_093000_220   leafly
137  ORANGE-7-CAP_20190606_093000_225   mouchi
138  ORANGE-7-CAP_20190606_093000_230   bewwre
139  ORANGE-7-CAP_20190606_093000_235   amecro
140  ORANGE-7-CAP_20190606_093000_240   brdowl
141  ORANGE-7-CAP_20190606_093000_245   bewwre
142  ORANGE-7-CAP_20190606_093000_250   bewwre
143  ORANGE-7-CAP_20190606_093000_255   buggna
144  ORANGE-7-CAP_20190606_093000_260   brncre
145  ORANGE-7-CAP_20190606_093000_265   rebwoo
146  ORANGE-7-CAP_20190606_093000_270   buggna
147  ORANGE-7-CAP_20190606_093000_275   leafly
148  ORANGE-7-CAP_20190606_093000_280   bewwre
149  ORANGE-7-CAP_20190606_093000_285   leafly
150  ORANGE-7-CAP_20190606_093000_290   greyel
151  ORANGE-7-CAP_20190606_093000_295   bewwre
152  ORANGE-7-CAP_20190606_093000_300   buggna
